0.6069,0.5365
0.3889,0.3450
0.2589,0.2631
0.2049,0.1840
0.1505,0.2605
0.3547,0.2967
0.2838,0.2673
0.2691,0.2972
0.2760,0.2739
0.2318,0.2386
0.2305,0.2218
0.2228,0.2716
0.2083,0.2296
0.1938,0.2010
0.1849,0.2087
0.2408,0.2527
0.2226,0.2749
0.2054,0.2928
0.2132,0.2235
0.2013,0.2260
0.1390,0.1433
0.1227,0.1440
0.1377,0.1344
0.1227,0.1258
0.1534,0.1988
0.1371,0.2078
0.1140,0.2049
0.1077,0.1482
0.1173,0.2448
0.1090,0.1379
0.0892,0.1608
0.1366,0.1199
0.1169,0.1270
0.0879,0.2310
0.0766,0.1727
0.0909,0.0965
0.1033,0.2282
0.1642,0.1244
0.1158,0.0988
0.0827,0.1097
0.1007,0.1090
0.1204,0.1592
0.0989,0.1115
0.0933,0.1042
0.0867,0.1181
0.1392,0.1659
0.1333,0.1951
0.1337,0.1435
0.1527,0.1722
0.1422,0.1369
0.2072,0.1997
0.2009,0.1926
0.1823,0.1750
0.1703,0.1647
0.1742,0.1684
0.1500,0.1665
0.1556,0.1872
0.1611,0.1431
0.1414,0.1422
0.1350,0.1324
0.1453,0.1354
0.1416,0.1447
0.1354,0.1256
0.1278,0.1337
0.1692,0.1428
0.1264,0.1237
0.1113,0.1019
0.1038,0.1090
0.1008,0.1094
0.0980,0.1023
0.0709,0.0604
0.0591,0.0610
0.0492,0.0541
0.1587,0.1490
0.0782,0.1622
0.2306,0.2118
0.1913,0.1874
0.1686,0.1597
0.1652,0.1677
0.1472,0.1575
0.1004,0.1099
0.0996,0.1196
0.0943,0.1138
0.0970,0.1001
0.0948,0.1055
0.0791,0.1414
0.1325,0.1021
0.0951,0.0940
0.0754,0.0883
0.0743,0.1115
0.0917,0.0916
0.0811,0.1068
0.1069,0.1007
0.1220,0.1080
0.0922,0.1069
0.0922,0.0868
0.0976,0.1009
0.0895,0.1003
0.0811,0.1127
0.0784,0.1745
0.0761,0.0684
0.0676,0.0717
0.0736,0.0834
0.0813,0.0661
0.0660,0.0682
0.1293,0.1786
0.1462,0.1467
0.1237,0.1372
0.1380,0.1518
0.1254,0.1403
0.1001,0.1088
0.0961,0.2032
0.1071,0.1049
0.0895,0.0986
0.0976,0.0936
0.0779,0.1392
0.0921,0.0733
0.1081,0.1028
0.0892,0.0982
0.0842,0.0750
0.0711,0.0852
0.0677,0.1076
0.0639,0.1226
0.0599,0.1183
0.0567,0.1102
0.1501,0.1331
0.1228,0.1024
0.1081,0.0930
0.1070,0.0872
0.0877,0.0886
0.1620,0.1422
0.1551,0.1400
0.1500,0.1503
0.1627,0.1359
0.1494,0.1332
0.1107,0.1310
0.1090,0.1327
0.1353,0.1205
0.1264,0.1217
0.1201,0.1190
0.0974,0.0875
0.0908,0.0938
0.0970,0.0967
0.0831,0.0917
0.0828,0.0859
0.0618,0.1251
0.0592,0.0734
0.0522,0.0761
0.0677,0.1654
0.0606,0.1438
0.0873,0.1413
0.0964,0.0680
0.0669,0.0598
0.1079,0.0978
0.0897,0.0702
0.1614,0.1540
0.1568,0.1493
0.1477,0.1604
0.1502,0.1591
0.1377,0.1460
0.1292,0.1476
0.1333,0.1332
0.1363,0.1361
0.1281,0.1470
0.1381,0.1594
0.0997,0.0906
0.0970,0.0957
0.0844,0.1018
0.0791,0.1124
0.0947,0.0913
0.1218,0.1116
0.1108,0.1154
0.1023,0.1028
0.0995,0.0981
0.1171,0.1145
0.0664,0.0661
0.0690,0.1270
0.0683,0.0649
0.0891,0.0960
0.0813,0.0748
0.0633,0.0718
0.0742,0.0693
0.0659,0.0613
0.0587,0.0756
0.0573,0.0655
0.0556,0.0874
0.0882,0.0798
0.0729,0.0967
0.0739,0.0679
0.0551,0.1036
0.1071,0.0980
0.0839,0.1047
0.0821,0.0816
0.0741,0.0819
0.0847,0.0980
0.0826,0.1017
0.0915,0.0813
0.0903,0.0776
0.0806,0.0825
0.0783,0.0797
0.0537,0.0593
0.0576,0.1086
0.0629,0.0596
0.0527,0.0478
0.0497,0.0454
0.0995,0.1204
0.0881,0.1323
0.0917,0.0817
0.0952,0.0958
0.0847,0.0857
0.0772,0.0897
0.0856,0.0801
0.0853,0.0836
0.0809,0.1089
0.0766,0.0975
0.0576,0.0546
0.0576,0.0568
0.0610,0.0807
0.0659,0.0901
0.0659,0.0635
0.0545,0.0792
0.0704,0.0563
0.0654,0.0596
0.0617,0.0904
0.0754,0.0579
0.0631,0.0726
0.0568,0.0755
0.0550,0.0755
0.0638,0.0683
0.0565,0.0608
0.1291,0.1159
0.1052,0.1159
0.0961,0.1207
0.0958,0.1225
0.0986,0.1367
0.0639,0.0758
0.0497,0.0717
0.0509,0.0833
0.0568,0.0615
0.0420,0.0645
0.1565,0.1373
0.1283,0.1248
0.1377,0.1316
0.1242,0.1235
0.1290,0.1302
0.0770,0.0725
0.0796,0.0772
0.0740,0.0731
0.0690,0.0700
0.0808,0.0732
0.0602,0.0574
0.0557,0.0547
0.0576,0.0562
0.0544,0.0563
0.0520,0.0589
0.0466,0.0564
0.0472,0.0527
0.0490,0.0653
0.0489,0.0450
0.0454,0.0415
0.1089,0.0952
0.0950,0.0898
0.0771,0.0722
0.0806,0.0727
0.0721,0.0710
0.0538,0.0531
0.0528,0.0560
0.0417,0.0587
0.0502,0.0786
0.0587,0.0473
0.1471,0.1549
0.1315,0.1525
0.1312,0.1549
0.1374,0.1344
0.1296,0.1401
0.0979,0.0942
0.0922,0.0915
0.0899,0.0897
0.0958,0.0949
0.0991,0.0930
0.0572,0.0631
0.0523,0.0724
0.0570,0.0667
0.0530,0.0619
0.0539,0.0714
0.1417,0.1318
0.1286,0.1230
0.1234,0.1178
0.1162,0.1152
0.1145,0.1247
0.1256,0.1196
0.1239,0.1207
0.1140,0.1133
0.1122,0.1095
0.1248,0.1158
0.1307,0.1134
0.1184,0.1147
0.1162,0.1130
0.1116,0.1087
0.1204,0.1101
0.0794,0.0682
0.0775,0.0707
0.0669,0.0766
0.0663,0.0739
0.0703,0.0831
0.0697,0.0681
0.0654,0.0677
0.0724,0.0676
0.0662,0.0655
0.0649,0.0662
0.0513,0.0520
0.0574,0.0595
0.0583,0.0541
0.0557,0.0647
0.0563,0.0672
0.0573,0.0534
0.0603,0.0639
0.0558,0.0573
0.0573,0.0617
0.0621,0.0688
0.0738,0.0993
0.0784,0.0716
0.0739,0.0713
0.0673,0.0768
0.0769,0.0925
0.0579,0.0719
0.0624,0.0584
0.0512,0.0533
0.0576,0.0626
0.0506,0.0597
0.0754,0.0877
0.0669,0.0872
0.0907,0.0844
0.0717,0.0724
0.0723,0.0895
0.0674,0.0968
0.0734,0.0762
0.0734,0.0787
0.0746,0.0953
0.0857,0.0727
0.1153,0.1151
0.1191,0.1142
0.1253,0.1223
0.1150,0.1124
0.1190,0.1105
0.0889,0.0901
0.0858,0.0895
0.0869,0.0878
0.0873,0.0863
0.0894,0.0839
0.1184,0.1072
0.1091,0.1079
0.1115,0.1053
0.1087,0.1119
0.1117,0.1076
0.1127,0.1053
0.1068,0.1092
0.1154,0.1070
0.1080,0.1053
0.1100,0.1131
0.0593,0.0653
0.0537,0.0652
0.0567,0.0657
0.0584,0.0677
0.0564,0.0742
0.1273,0.1172
0.1206,0.1135
0.1087,0.1135
0.1078,0.1176
0.1095,0.1145
0.0455,0.0591
0.0401,0.0679
0.0388,0.0667
0.0418,0.0591
0.0378,0.0669
0.0785,0.0760
0.0686,0.0665
0.0646,0.0675
0.0630,0.0670
0.0635,0.0671
0.0473,0.0762
0.0413,0.0571
0.0474,0.0732
0.0426,0.0388
0.0425,0.0515
0.0738,0.0680
0.0708,0.0704
0.0639,0.0719
0.0683,0.0666
0.0637,0.0656
0.1109,0.1169
0.1185,0.1173
0.1070,0.1088
0.1109,0.1117
0.1027,0.1159
0.0663,0.0720
0.0606,0.0771
0.0626,0.0753
0.0625,0.0715
0.0650,0.0682
0.0697,0.0625
0.0640,0.0622
0.0652,0.0683
0.0653,0.0609
0.0609,0.0613
0.0689,0.0726
0.0666,0.0691
0.0628,0.0620
0.0710,0.0747
0.0624,0.0830
0.0532,0.0646
0.0507,0.0514
0.0511,0.0509
0.0558,0.0498
0.0463,0.0457
0.0416,0.0498
0.0375,0.0512
0.0365,0.0452
0.0386,0.0422
0.0366,0.0474
0.1127,0.1067
