0.6198,0.5146
0.3944,0.2577
0.2076,0.1701
0.1486,0.1622
0.1298,0.1801
0.1701,0.1691
0.1174,0.1943
0.1272,0.1293
0.1285,0.1979
0.1048,0.3389
0.1743,0.1193
0.1031,0.0930
0.1086,0.1543
0.0895,0.2120
0.1633,0.1197
0.1055,0.1099
0.1120,0.2022
0.0919,0.1438
0.0944,0.0796
0.1119,0.1327
0.2004,0.1970
0.1808,0.1873
0.1700,0.1764
0.1611,0.1722
0.1524,0.1792
0.1263,0.1549
0.1305,0.1259
0.1399,0.1316
0.1375,0.1570
0.1567,0.1321
0.1051,0.1070
0.0994,0.0937
0.1102,0.1083
0.1083,0.1161
0.1077,0.0982
0.1415,0.1419
0.1617,0.1814
0.1418,0.1453
0.1471,0.1638
0.1368,0.1428
0.0649,0.0973
0.0581,0.1274
0.0595,0.1237
0.0654,0.2248
0.0778,0.0825
0.0647,0.0627
0.0554,0.0739
0.0803,0.1542
0.0608,0.1401
0.0684,0.2126
0.1011,0.1009
0.0854,0.0949
0.0932,0.0881
0.0869,0.0840
0.1095,0.1624
0.1359,0.1574
0.1294,0.1539
0.1645,0.1399
0.1352,0.1285
0.1276,0.1331
0.0810,0.0809
0.0775,0.0751
0.0782,0.0882
0.0884,0.1399
0.0814,0.1380
0.0708,0.0596
0.0536,0.0603
0.0772,0.1014
0.0763,0.0607
0.0744,0.1092
0.1138,0.1104
0.1070,0.1297
0.1243,0.1098
0.1088,0.1159
0.1004,0.1342
0.0604,0.1184
0.0695,0.0681
0.0605,0.1251
0.0531,0.1959
0.0789,0.0557
0.0632,0.0935
0.0549,0.1697
0.0930,0.0862
0.0830,0.1316
0.0578,0.1458
0.0642,0.0647
0.0606,0.0588
0.0698,0.0966
0.0619,0.0721
0.0589,0.0564
0.0705,0.1326
0.0669,0.0548
0.0527,0.0556
0.0951,0.1386
0.0971,0.0706
0.1174,0.1519
0.1049,0.1679
0.0978,0.1589
0.0987,0.1390
0.1012,0.1678
0.0894,0.0831
0.0673,0.0626
0.0585,0.0817
0.0578,0.0714
0.0770,0.0870
0.1412,0.1264
0.1262,0.1215
0.1237,0.1327
0.1177,0.1345
0.1154,0.1365
0.0942,0.1338
0.0784,0.1000
0.0779,0.1377
0.0773,0.0929
0.0725,0.1055
0.1033,0.1087
0.0965,0.0930
0.0918,0.0931
0.0981,0.0951
0.0954,0.0945
0.0645,0.0680
0.0591,0.0680
0.0643,0.0728
0.0668,0.0790
0.0595,0.0585
0.1142,0.1350
0.0971,0.1062
0.0971,0.0914
0.0903,0.0903
0.1020,0.1138
0.0590,0.0627
0.0512,0.0608
0.0455,0.0584
0.0754,0.0961
0.0543,0.0646
0.0563,0.0898
0.0823,0.0784
0.0587,0.0594
0.0565,0.0577
0.0711,0.1090
0.1344,0.1187
0.1169,0.1142
0.1149,0.1148
0.1101,0.1083
0.1049,0.1049
0.0600,0.0739
0.0563,0.0903
0.0700,0.0683
0.0626,0.0732
0.0608,0.1232
0.0762,0.0695
0.0763,0.0852
0.0698,0.0729
0.0672,0.0783
0.0641,0.0796
0.0687,0.0998
0.0490,0.1176
0.0749,0.0658
0.0617,0.0771
0.0512,0.0875
0.0461,0.1090
0.0584,0.0483
0.0571,0.1020
0.0499,0.1483
0.0468,0.1224
0.1479,0.1383
0.1203,0.1102
0.1215,0.1226
0.1159,0.1059
0.1071,0.1068
0.0701,0.0841
0.0600,0.0606
0.0614,0.0663
0.0524,0.0717
0.0507,0.0578
0.1219,0.1107
0.1060,0.1026
0.0987,0.0991
0.0976,0.1017
0.0957,0.0994
0.0732,0.0679
0.0649,0.0685
0.0624,0.0958
0.0583,0.1113
